event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-height,battery-charge-percent,battery-charging-current,data-decoding-software,external-temperature,gps:hdop,gps:horizontal-accuracy-estimate,gps:satellite-count,gps:speed-accuracy-estimate,gps-time-to-fix,ground-speed,heading,height-above-ellipsoid,height-above-msl,icarus:ecef-vx,icarus:ecef-vy,icarus:ecef-vz,icarus:ecef-x,icarus:ecef-y,icarus:ecef-z,icarus:reset-counter,icarus:timestamp-accuracy,icarus:timestamp-source,icarus:uplink-counter,import-marked-outlier,gls:light-level,location-accuracy-comments,location-error-text,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,mortality-status,orn:transmission-protocol,tag-voltage,transmission-protocol,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
22020271711,true,2022-03-08 17:33:34.000,-147.9429931640625,-15.101675033569336,-93.0,-234.0,1015.0,0.0,29,0.0,,36.0,1.2,,5,,51.78,0.0,0.0,,4.0,,,,,,,,,,,false,95.0,,,0.154,0.172,-0.44,,"GPRS",3775.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271712,true,2022-03-08 18:33:28.000,-147.94227600097656,-15.102059364318848,-67.0,-156.0,1031.0,0.0,29,3.0,,40.0,1.3,,6,,45.76,0.0,0.0,,4.0,,,,,,,,,,,false,215.0,,,0.047,0.098,-0.395,,"GPRS",3775.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271713,true,2022-03-08 19:33:22.000,-147.94227600097656,-15.10208511352539,-111.0,-355.0,974.0,0.0,28,3.0,,40.0,1.6,,6,,39.7,0.0,0.0,,17.0,,,,,,,,,,,false,99.0,,,0.106,0.148,-0.366,,"GPRS",3772.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271714,true,2022-03-08 20:33:34.000,-147.94232177734375,-15.102104187011719,-51.0,-315.0,996.0,0.0,29,0.0,,40.0,0.8,,9,,51.77,0.0,0.0,,27.0,,,,,,,,,,,false,41.0,,,0.577,-0.323,-0.448,,"GPRS",3777.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271715,true,2022-03-08 21:32:50.000,-147.9423370361328,-15.102020263671875,-4.0,-240.0,1017.0,0.0,29,0.0,,42.0,0.9,,7,,7.67,0.0,0.0,,11.0,,,,,,,,,,,false,54.0,,,0.03,-0.398,-0.29,,"GPRS",3777.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271716,true,2022-03-08 22:32:51.000,-147.94239807128906,-15.10203742980957,-14.0,-228.0,1017.0,0.0,31,0.0,,41.0,1.4,,5,,8.55,0.0,0.0,,8.0,,,,,,,,,,,false,271.0,,,-0.071,-0.088,-0.283,,"GPRS",3783.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271717,true,2022-03-08 23:33:22.000,-147.9423065185547,-15.102073669433594,-7.0,-338.0,997.0,0.0,34,0.0,,37.0,1.3,,5,,39.62,0.0,0.0,,24.0,,,,,,,,,,,false,46.0,,,0.522,-0.352,-0.459,,"GPRS",3794.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271718,true,2022-03-09 00:32:56.000,-147.9422149658203,-15.10207748413086,-11.0,-309.0,998.0,0.0,35,0.0,,39.0,1.3,,5,,13.48,0.0,0.0,,22.0,,,,,,,,,,,false,44.0,,,0.595,-0.19,-0.466,,"GPRS",3796.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271719,true,2022-03-09 01:33:08.000,-147.94223022460938,-15.102128982543945,-122.0,-331.0,981.0,0.0,35,0.0,,37.0,1.6,,4,,25.45,0.2777777777777778,44.0,,-3.0,,,,,,,,,,,false,22.0,,,0.191,0.182,-0.418,,"GPRS",3799.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271720,true,2022-03-09 02:33:21.000,-147.94235229492188,-15.10201644897461,-107.0,-237.0,1012.0,0.0,35,0.0,,36.0,1.9,,5,,39.51,0.0,0.0,,1.0,,,,,,,,,,,false,278.0,,,0.392,0.126,-0.449,,"GPRS",3799.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271721,true,2022-03-09 03:33:21.000,-147.9423828125,-15.102157592773438,-20.0,-137.0,1031.0,0.0,37,0.0,,35.0,1.5,,6,,39.48,0.0,0.0,,8.0,,,,,,,,,,,false,49.0,,,-0.016,0.097,-0.34,,"GPRS",3805.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271722,true,2022-03-09 04:32:49.000,-147.93435668945312,-15.1354341506958,-18.0,-368.0,965.0,0.0,39,0.0,,29.0,1.4,,6,,7.4,0.0,0.0,,21.0,,,,,,,,,,,false,0.0,,,-0.104,0.08,-0.301,,"GPRS",3813.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271723,true,2022-03-09 05:32:49.000,-147.93438720703125,-15.135292053222656,-131.0,-278.0,1011.0,0.0,39,0.0,,32.0,1.6,,5,,7.37,0.0,0.0,,1.0,,,,,,,,,,,false,0.0,,,0.499,-0.018,-0.477,,"GPRS",3810.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
22020271724,true,2022-03-09 06:33:57.000,-147.93453979492188,-15.13537311553955,-50.0,-497.0,930.0,0.0,38,0.0,,33.0,1.9,,7,,75.55,0.0,0.0,,3.0,,,,,,,,,,,false,0.0,,,0.058,0.189,-0.353,,"GPRS",3807.0,,"gps","Numenius tahitiensis","215317","Courlis d'Alaska C32 [FRP-EC111919]","Kivi Kuaka [ID_PROG 1099] "
