latitude,   longitude,   speedX,     speedY
-15.097708,  -147.935689,  0.000000,  0.000000
-14.911811,  -147.880399,  1.707794,  5.741862
-14.724733,  -147.828148,  1.613891,  5.778359
-14.536592,  -147.779370,  1.506631,  5.811214
-14.348446,  -147.733711,  1.410281,  5.811338
-14.159194,  -147.691360,  1.308110,  5.845525
-13.967892,  -147.650942,  1.248409,  5.908835
-13.774285,  -147.612916,  1.174526,  5.980018
-13.577610,  -147.576810,  1.115219,  6.074810
-13.377643,  -147.543979,  1.014081,  6.176472
-13.173203,  -147.515519,  0.879055,  6.314620
-12.963535,  -147.490184,  0.782536,  6.476112
-12.749485,  -147.470185,  0.617719,  6.611464
-12.532500,  -147.453402,  0.518381,  6.702135
-12.312202,  -147.441812,  0.357974,  6.804429
-12.090790,  -147.434371,  0.229850,  6.838845
-11.869531,  -147.433380,  0.030605,  6.834153
-11.649534,  -147.435468,  -0.064495,  6.795137
-11.431032,  -147.440492,  -0.155183,  6.748963
-11.215273,  -147.448632,  -0.251416,  6.664265
-11.005911,  -147.433932,  0.454044,  6.466664
-10.798008,  -147.422331,  0.358322,  6.421578
-10.591021,  -147.413810,  0.263205,  6.393307
-10.386003,  -147.409564,  0.131135,  6.332492
-10.181303,  -147.408400,  0.035963,  6.322652
-9.979844,  -147.410300,  -0.058690,  6.222562
-9.761550,  -147.431445,  -0.653136,  6.742537
-9.541688,  -147.454537,  -0.713236,  6.790980
-9.324378,  -147.479539,  -0.772253,  6.712176
-9.108423,  -147.505393,  -0.798561,  6.670308
-8.896542,  -147.536429,  -0.958617,  6.544458
-8.686108,  -147.573604,  -1.148258,  6.499752
-8.478876,  -147.606179,  -1.006149,  6.400879
-8.280382,  -147.634097,  -0.862312,  6.130979
-8.079816,  -147.655384,  -0.657494,  6.194992
-7.879412,  -147.677405,  -0.680170,  6.189952
-7.673782,  -147.703669,  -0.811227,  6.351397
-7.468370,  -147.733992,  -0.936628,  6.344636
-7.261521,  -147.763980,  -0.926232,  6.389044
-7.054727,  -147.792618,  -0.884569,  6.387367
-6.845066,  -147.818831,  -0.809663,  6.475872
-6.635478,  -147.844781,  -0.801527,  6.473644
-6.424701,  -147.865037,  -0.625633,  6.510364
-6.212915,  -147.879703,  -0.453018,  6.541540
-6.004983,  -147.902762,  -0.712214,  6.422481
-5.797124,  -147.922325,  -0.604248,  6.420258
-5.589334,  -147.940560,  -0.563248,  6.418109
-5.380256,  -147.959618,  -0.588638,  6.457861
-5.172606,  -147.979516,  -0.614596,  6.413785
-4.966403,  -147.999148,  -0.606396,  6.369092
-4.760235,  -148.016370,  -0.531931,  6.368026
-4.552799,  -148.034435,  -0.558012,  6.407146
-4.345437,  -148.052250,  -0.550232,  6.404905
-4.132712,  -148.069837,  -0.543238,  6.570528
-3.935835,  -148.093631,  -0.734925,  6.081029
-3.738759,  -148.114910,  -0.657260,  6.087168
-3.539978,  -148.132767,  -0.551546,  6.139845
-3.341147,  -148.149192,  -0.507345,  6.141397
-3.139518,  -148.163347,  -0.437212,  6.227818
-2.936522,  -148.175076,  -0.362267,  6.270005
-2.739047,  -148.201612,  -0.819625,  6.099500
-2.541556,  -148.226898,  -0.781028,  6.100006
-2.345293,  -148.248623,  -0.671031,  6.062058
-2.148836,  -148.267829,  -0.593223,  6.068065
-1.950678,  -148.283608,  -0.487370,  6.120612
-1.752473,  -148.297951,  -0.443033,  6.122037
-1.551475,  -148.310020,  -0.372765,  6.208334
