latitude,   longitude,   speedx,     speedy
-15.097622,  -147.935470,  0.000000,  0.000000
-14.818156,  -147.864654,  2.187342,  8.631988
-14.538367,  -147.794669,  2.161644,  8.641964
-14.258288,  -147.725633,  2.132332,  8.650938
-13.978207,  -147.657450,  2.106028,  8.650979
-13.697825,  -147.590168,  2.078164,  8.660302
-13.416884,  -147.523412,  2.061916,  8.677560
-13.135314,  -147.457307,  2.041822,  8.696960
-12.852909,  -147.391723,  2.025731,  8.722792
-12.569606,  -147.327028,  1.998257,  8.750492
-12.285085,  -147.263520,  1.961581,  8.788132
-11.999140,  -147.200859,  1.935459,  8.832127
-11.712001,  -147.139644,  1.890755,  8.868981
-11.424065,  -147.079297,  1.863972,  8.893635
-11.135227,  -147.020355,  1.820575,  8.921449
-10.846090,  -146.962531,  1.786045,  8.930736
-10.556997,  -146.906451,  1.732165,  8.929347
-10.268252,  -146.851194,  1.706758,  8.918580
-9.979920,  -146.796719,  1.682587,  8.905855
-9.691961,  -146.750726,  1.420615,  8.894324
-9.406462,  -146.699038,  1.596506,  8.818336
-9.120972,  -146.646684,  1.617089,  8.818062
-8.835511,  -146.594842,  1.601247,  8.817170
-8.548743,  -146.543517,  1.585305,  8.857541
-8.260541,  -146.492986,  1.560783,  8.901828
-7.972775,  -146.441791,  1.581270,  8.888359
-7.684580,  -146.391378,  1.557144,  8.901605
-7.395964,  -146.341468,  1.541574,  8.914629
-7.108049,  -146.292052,  1.526334,  8.892942
-6.820511,  -146.242840,  1.520040,  8.881325
-6.534091,  -146.195012,  1.477286,  8.846801
-6.248072,  -146.148828,  1.426522,  8.834396
-5.962933,  -146.101355,  1.466312,  8.807202
-5.680185,  -146.052580,  1.506527,  8.733377
-5.396878,  -146.001967,  1.563310,  8.750634
-5.113622,  -145.951526,  1.557991,  8.749072
-4.828946,  -145.902214,  1.523132,  8.792913
-4.544336,  -145.853978,  1.489891,  8.790864
-4.259342,  -145.805617,  1.493745,  8.802760
-3.974369,  -145.756855,  1.506139,  8.802085
-3.689418,  -145.707692,  1.518507,  8.801416
-3.404488,  -145.658130,  1.530848,  8.800752
-3.119971,  -145.608189,  1.542569,  8.788008
-2.835825,  -145.557245,  1.573518,  8.776564
-2.554518,  -145.507064,  1.549950,  8.688855
-2.272795,  -145.456529,  1.560903,  8.701697
-1.990343,  -145.406149,  1.556123,  8.724238
-1.707523,  -145.355681,  1.558820,  8.735584
-1.424362,  -145.305411,  1.552708,  8.746119
-1.140913,  -145.256212,  1.519650,  8.755035
-0.857533,  -145.207487,  1.504988,  8.752876
-0.574224,  -145.159233,  1.490429,  8.750689
-0.291732,  -145.109965,  1.521782,  8.725470
-0.009242,  -145.060318,  1.533453,  8.725414
0.272908,  -145.009663,  1.564596,  8.714873
0.555104,  -144.958286,  1.586925,  8.716325
0.837758,  -144.905938,  1.616885,  8.730475
1.120419,  -144.853165,  1.630040,  8.730687
1.403837,  -144.799736,  1.650263,  8.754049
1.687620,  -144.745611,  1.671787,  8.765349
1.972077,  -144.691382,  1.675020,  8.786159
2.256857,  -144.638231,  1.641684,  8.796133
2.540870,  -144.584960,  1.645420,  8.772418
2.824874,  -144.530992,  1.666914,  8.772183
3.109221,  -144.476341,  1.688049,  8.782752
3.393233,  -144.420400,  1.727860,  8.772399
3.676622,  -144.363477,  1.758223,  8.753169
3.960028,  -144.305874,  1.779208,  8.753688
4.246324,  -144.244676,  1.890243,  8.842951
4.533533,  -144.183106,  1.901747,  8.871174
4.821141,  -144.121130,  1.914269,  8.883477
5.108363,  -144.058498,  1.934567,  8.871565
5.395165,  -143.996111,  1.926965,  8.858566
5.682049,  -143.934231,  1.911326,  8.861123
5.968512,  -143.872873,  1.895185,  8.848132
6.254230,  -143.811725,  1.888711,  8.825094
6.539451,  -143.751089,  1.872882,  8.809757
6.824397,  -143.690645,  1.866955,  8.801250
7.109309,  -143.629821,  1.878695,  8.800225
7.393927,  -143.568331,  1.899281,  8.791120
7.678528,  -143.507053,  1.892711,  8.790606
7.953346,  -143.454501,  1.623198,  8.488426
8.226503,  -143.402180,  1.616060,  8.437135
8.498147,  -143.350622,  1.592515,  8.390395
8.768900,  -143.299522,  1.578349,  8.362857
9.039066,  -143.249336,  1.550127,  8.344740
9.310198,  -143.200569,  1.506271,  8.374582
9.582159,  -143.152368,  1.488806,  8.400188
9.854949,  -143.104782,  1.469820,  8.425802
10.129233,  -143.057646,  1.455910,  8.471938
10.405263,  -143.010048,  1.470163,  8.525842
10.682143,  -142.963177,  1.447750,  8.552129
10.955809,  -142.910857,  1.616019,  8.452842
11.229054,  -142.858083,  1.630055,  8.439860
11.502263,  -142.805174,  1.634217,  8.438719
11.775817,  -142.752448,  1.628584,  8.449396
12.049850,  -142.699565,  1.633418,  8.464195
12.324830,  -142.646587,  1.636357,  8.493420
12.599866,  -142.593187,  1.649378,  8.495157
12.876716,  -142.539874,  1.646725,  8.551199
13.154067,  -142.486127,  1.660113,  8.566681
13.432297,  -142.432232,  1.664660,  8.593816
13.711057,  -142.377583,  1.687984,  8.610193
13.991891,  -142.323398,  1.673633,  8.674239
14.272277,  -142.268743,  1.688155,  8.660397
14.552615,  -142.213961,  1.692064,  8.658937
14.831122,  -142.161641,  1.616029,  8.602393
15.110161,  -142.108590,  1.638622,  8.618798
15.388421,  -142.054164,  1.681093,  8.594745
15.666798,  -141.998737,  1.711979,  8.598360
15.944803,  -141.942576,  1.734681,  8.586867
16.222764,  -141.886260,  1.739447,  8.585513
16.500681,  -141.829789,  1.744245,  8.584147
16.778498,  -141.773421,  1.741072,  8.581068
17.057501,  -141.717481,  1.727849,  8.617688
17.336783,  -141.662226,  1.706674,  8.626307
17.617307,  -141.607714,  1.683734,  8.664691
17.898208,  -141.553612,  1.671077,  8.676300
18.179074,  -141.499025,  1.686054,  8.675229
18.458998,  -141.443609,  1.711672,  8.646155
18.737931,  -141.388010,  1.717296,  8.615516
19.015908,  -141.331965,  1.731094,  8.586030
19.292762,  -141.276309,  1.719079,  8.551317
19.568943,  -141.221023,  1.707631,  8.530533
19.852412,  -141.157940,  1.948484,  8.755632
20.133770,  -141.094707,  1.953122,  8.690421
20.413661,  -141.031615,  1.948733,  8.645122
20.693151,  -140.968389,  1.952888,  8.632757
20.972599,  -140.905016,  1.957438,  8.631414
21.252002,  -140.841494,  1.962023,  8.630058
21.531790,  -140.777227,  1.985072,  8.641933
21.812270,  -140.712238,  2.007335,  8.663313
22.096598,  -140.642408,  2.156873,  8.782180
22.381531,  -140.571862,  2.178982,  8.800857
22.666708,  -140.500320,  2.209749,  8.808410
22.951625,  -140.427754,  2.241395,  8.800351
23.236446,  -140.354826,  2.252534,  8.797413
23.520742,  -140.281458,  2.266155,  8.781172
23.804607,  -140.208009,  2.268657,  8.767852
24.087955,  -140.133853,  2.290509,  8.751924
24.370903,  -140.059619,  2.292902,  8.739526
24.653068,  -139.984990,  2.305095,  8.715360
24.934487,  -139.910271,  2.307873,  8.692313
25.214475,  -139.835168,  2.319735,  8.648127
25.493559,  -139.760577,  2.303928,  8.620217
25.779990,  -139.692959,  2.088563,  8.847112
26.065512,  -139.625738,  2.076284,  8.819037
26.350377,  -139.558668,  2.071612,  8.798776
26.634564,  -139.491697,  2.068555,  8.777797
26.918398,  -139.424852,  2.064697,  8.766923
27.202902,  -139.358105,  2.061633,  8.787606
27.487803,  -139.291777,  2.048711,  8.799875
27.773358,  -139.225199,  2.056428,  8.820061
28.059165,  -139.158196,  2.069553,  8.827843
28.345202,  -139.090705,  2.084621,  8.834975
28.631561,  -139.021808,  2.128031,  8.844891
28.915554,  -138.955336,  2.053166,  8.771843
29.199623,  -138.887196,  2.104685,  8.774170
29.483153,  -138.817938,  2.139196,  8.757508
29.766543,  -138.747929,  2.162407,  8.753193
30.050658,  -138.676788,  2.197337,  8.775594
30.334607,  -138.604911,  2.220124,  8.770465
30.619465,  -138.531930,  2.254179,  8.798558
30.904031,  -138.457888,  2.286972,  8.789504
31.188321,  -138.382849,  2.317754,  8.780998
31.472295,  -138.307623,  2.323539,  8.771231
31.734716,  -138.232996,  2.305059,  8.105518
31.998175,  -138.157901,  2.319498,  8.137577
32.261996,  -138.081889,  2.347820,  8.148776
32.525858,  -138.005256,  2.366972,  8.150011
32.789830,  -137.928427,  2.373055,  8.153438
33.053177,  -137.851506,  2.375919,  8.134129
33.316168,  -137.774745,  2.370950,  8.123103
33.578988,  -137.698000,  2.370442,  8.117858
33.841314,  -137.621031,  2.377390,  8.102593
34.103889,  -137.544247,  2.371647,  8.110257
34.366076,  -137.466678,  2.395912,  8.098306
34.628357,  -137.388939,  2.401166,  8.101178
34.890204,  -137.310021,  2.437571,  8.087793
35.151666,  -137.230373,  2.460140,  8.075906
35.416702,  -137.152523,  2.404568,  8.186299
35.679626,  -137.073938,  2.427295,  8.121046
35.941077,  -136.995335,  2.427857,  8.075559
36.201959,  -136.917002,  2.419510,  8.057961
36.462269,  -136.838936,  2.411271,  8.040327
36.722703,  -136.761170,  2.401979,  8.044139
36.984028,  -136.683651,  2.394359,  8.071682
37.246262,  -136.605816,  2.404145,  8.099744
37.508374,  -136.527456,  2.420329,  8.095966
37.795796,  -136.439677,  2.711262,  8.877734
38.083822,  -136.351757,  2.715626,  8.896403
38.371817,  -136.263742,  2.718574,  8.895439
38.663279,  -136.176874,  2.683135,  9.002513
38.955875,  -136.089572,  2.696518,  9.037535
39.249913,  -136.001812,  2.710706,  9.082084
39.544214,  -135.913170,  2.737917,  9.090214
39.835528,  -135.825049,  2.721831,  8.997958
40.126456,  -135.735164,  2.776312,  8.986024
40.416794,  -135.643307,  2.837248,  8.967811
40.705916,  -135.550803,  2.857203,  8.930239
40.994730,  -135.457582,  2.879369,  8.920747
41.283236,  -135.364335,  2.880151,  8.911209
41.572002,  -135.270527,  2.897505,  8.919251
41.860493,  -135.176712,  2.897687,  8.910739
42.148958,  -135.083344,  2.883904,  8.909963
42.438277,  -134.990217,  2.876472,  8.936329
42.728464,  -134.897377,  2.867595,  8.963155
43.019215,  -134.804459,  2.869979,  8.980544
43.310230,  -134.711253,  2.878902,  8.988722
43.604752,  -134.599929,  3.438518,  9.097025
43.900548,  -134.490083,  3.392865,  9.136388
44.198219,  -134.381132,  3.365236,  9.194319
44.497843,  -134.273150,  3.335284,  9.254607
44.799736,  -134.166065,  3.307564,  9.324728
45.103690,  -134.059627,  3.287599,  9.388341
45.409054,  -133.954899,  3.234805,  9.431946
45.715380,  -133.851541,  3.192451,  9.461619
46.022723,  -133.748406,  3.185580,  9.493054
46.331041,  -133.644949,  3.195538,  9.523150
46.639628,  -133.540878,  3.214482,  9.531476
46.950009,  -133.438008,  3.177395,  9.586868
47.260415,  -133.335802,  3.156876,  9.587658
47.571274,  -133.234086,  3.141763,  9.601653
47.883194,  -133.131399,  3.171740,  9.634415
48.196719,  -133.028841,  3.167758,  9.684001
48.511453,  -132.927239,  3.138210,  9.721318
48.828083,  -132.825724,  3.135546,  9.779916
49.146759,  -132.723554,  3.155769,  9.843081
49.465745,  -132.615018,  3.352399,  9.852664
49.780360,  -132.504914,  3.400836,  9.717656
50.093535,  -132.393774,  3.432823,  9.673181
50.403206,  -132.280912,  3.486043,  9.564948
50.707419,  -132.168178,  3.482063,  9.396361
51.009755,  -132.056368,  3.453533,  9.338401
51.310877,  -131.945973,  3.409827,  9.300901
51.610383,  -131.836131,  3.392737,  9.250975
51.908448,  -131.728075,  3.337577,  9.206476
52.205124,  -131.622330,  3.266171,  9.163574
52.501765,  -131.519075,  3.189283,  9.162491
52.797965,  -131.417576,  3.135050,  9.148869
53.093658,  -131.317674,  3.085720,  9.133202
53.388835,  -131.220782,  2.992757,  9.117268
53.685266,  -131.128822,  2.840408,  9.156005
53.985560,  -131.046395,  2.545971,  9.275303
54.295357,  -130.985413,  1.883569,  9.568836
