latitude,   longitude,   speedx,     speedy
-15.097622,  -147.935470,  0.000000,  0.000000
-15.104712,  -147.912203,  0.718673,  -0.219010
-15.108862,  -147.896482,  0.485569,  -0.128171
-15.110361,  -147.889407,  0.218529,  -0.046304
-15.111854,  -147.890114,  -0.021849,  -0.046114
-15.110580,  -147.899092,  -0.277297,  0.039358
-15.104176,  -147.912922,  -0.427171,  0.197784
-15.092003,  -147.932765,  -0.612913,  0.375993
-15.072146,  -147.957459,  -0.762721,  0.613347
-15.044044,  -147.990403,  -1.017567,  0.867992
-15.004739,  -148.034364,  -1.357843,  1.214021
-14.952335,  -148.086256,  -1.602800,  1.618645
-14.888940,  -148.151631,  -2.019282,  1.958109
-14.818162,  -148.225228,  -2.273202,  2.186147
-14.811828,  -148.238774,  -0.418430,  0.195634
-14.799725,  -148.258335,  -0.604177,  0.373842
-14.779937,  -148.282746,  -0.753990,  0.611195
-14.751905,  -148.315408,  -1.008840,  0.865837
-14.712670,  -148.359086,  -1.349119,  1.211862
-14.660336,  -148.410695,  -1.594077,  1.616479
-14.597011,  -148.475788,  -2.010559,  1.955935
-14.526304,  -148.549102,  -2.264477,  2.183963
-14.447268,  -148.635603,  -2.671782,  2.441226
-14.365388,  -148.732712,  -2.999463,  2.529058
-14.283824,  -148.846214,  -3.505769,  2.519325
-14.205343,  -148.967716,  -3.752889,  2.424070
-14.130521,  -149.096879,  -3.989531,  2.311059
-14.062472,  -149.234170,  -4.240555,  2.101873
-14.010329,  -149.314715,  -2.487849,  1.610557
-13.961782,  -149.403225,  -2.733849,  1.499489
-13.915466,  -149.499668,  -2.978870,  1.430592
-13.874010,  -149.607052,  -3.316833,  1.280476
-13.833282,  -149.722416,  -3.563284,  1.257982
-13.800582,  -149.845735,  -3.809035,  1.010016
-13.766490,  -149.977312,  -4.064056,  1.053015
-13.730383,  -150.113908,  -4.219129,  1.115238
-13.695152,  -150.258451,  -4.464560,  1.088212
-13.665193,  -150.400067,  -4.374156,  0.925341
-13.629741,  -150.541712,  -4.375053,  1.095049
-13.591327,  -150.680557,  -4.288564,  1.186497
-13.547274,  -150.814014,  -4.122156,  1.360693
-13.495470,  -150.952699,  -4.283612,  1.600081
-13.432387,  -151.099244,  -4.526414,  1.948470
-13.357144,  -151.251170,  -4.692607,  2.324073
-13.270333,  -151.416346,  -5.101857,  2.681364
-13.175096,  -151.589516,  -5.348795,  2.941651
-13.073741,  -151.773275,  -5.675836,  3.130578
-12.974890,  -151.962190,  -5.835117,  3.053265
-12.879106,  -152.154386,  -5.936430,  2.958516
-12.782866,  -152.348802,  -6.005019,  2.972618
-12.682885,  -152.542774,  -5.991315,  3.088155
-12.587249,  -152.734502,  -5.921996,  2.953955
-12.505957,  -152.931061,  -6.071197,  2.510901
-12.421801,  -153.121847,  -5.892894,  2.599368
-12.341736,  -153.310085,  -5.814208,  2.473022
-12.258902,  -153.492845,  -5.644971,  2.558509
-12.171088,  -153.683644,  -5.893315,  2.712346
-12.086625,  -153.877033,  -5.973277,  2.608870
-12.000567,  -154.080661,  -6.289568,  2.658100
-11.917379,  -154.292188,  -6.533541,  2.569478
-11.836501,  -154.487521,  -6.033332,  2.498119
-11.752762,  -154.677083,  -5.855080,  2.586477
-11.673117,  -154.864099,  -5.776443,  2.460023
-11.590708,  -155.045637,  -5.607257,  2.545406
-11.503322,  -155.235217,  -5.855650,  2.699141
-11.419289,  -155.427388,  -5.935663,  2.595557
-11.333666,  -155.629800,  -6.252007,  2.644680
-11.250916,  -155.840113,  -6.496037,  2.555946
-11.176331,  -156.050444,  -6.496576,  2.303738
-11.102399,  -156.254980,  -6.317592,  2.283567
-11.021708,  -156.451456,  -6.068658,  2.492348
-10.935293,  -156.636759,  -5.723550,  2.669123
-10.843155,  -156.814198,  -5.480624,  2.845925
-10.740952,  -156.988510,  -5.384058,  3.156782
-10.627799,  -157.162513,  -5.374522,  3.495007
-10.509923,  -157.339323,  -5.461217,  3.640893
-10.391053,  -157.519046,  -5.551188,  3.671601
-10.271366,  -157.701170,  -5.625332,  3.696838
-10.154786,  -157.885867,  -5.704824,  3.600844
-10.034434,  -158.069981,  -5.686812,  3.717364
-9.930405,  -158.216139,  -4.514450,  3.213203
-9.835803,  -158.362699,  -4.526879,  2.922007
-9.748767,  -158.503505,  -4.349124,  2.688318
-9.666520,  -158.635849,  -4.087786,  2.540410
-9.604191,  -158.736043,  -3.094716,  1.925183
-9.541898,  -158.836153,  -3.092161,  1.924080
-9.479358,  -158.938864,  -3.172486,  1.931683
-9.407566,  -159.043997,  -3.247294,  2.217493
-9.333037,  -159.151546,  -3.321899,  2.302000
-9.268357,  -159.275459,  -3.827353,  1.997799
-9.207723,  -159.415329,  -4.320229,  1.872824
-9.158448,  -159.566008,  -4.654103,  1.521980
-9.121870,  -159.724768,  -4.903692,  1.129806
-9.089226,  -159.891499,  -5.149897,  1.008289
-9.064304,  -160.066258,  -5.397880,  0.769782
-9.046891,  -160.243665,  -5.479642,  0.537857
-9.038237,  -160.428732,  -5.716239,  0.267279
-9.031287,  -160.622153,  -5.974297,  0.214684
-9.032275,  -160.815430,  -5.969823,  -0.030518
-9.037279,  -161.008467,  -5.962415,  -0.154574
-9.046450,  -161.201714,  -5.968917,  -0.283270
-9.058700,  -161.391205,  -5.852897,  -0.378359
-9.065747,  -161.575880,  -5.704142,  -0.217672
-9.074313,  -161.751917,  -5.437338,  -0.264572
-9.082261,  -161.925513,  -5.361953,  -0.245488
-9.083529,  -162.087713,  -5.009933,  -0.039173
-9.077481,  -162.247757,  -4.943356,  0.186804
-9.066923,  -162.402080,  -4.766639,  0.326125
-9.018549,  -162.540050,  -4.261542,  1.494141
-8.970224,  -162.675223,  -4.175154,  1.492628
-8.921948,  -162.812997,  -4.255491,  1.491135
-8.879276,  -162.947878,  -4.166122,  1.318024
-8.848694,  -163.091011,  -4.421035,  0.944592
-8.836187,  -163.249887,  -4.907274,  0.386309
-8.841502,  -163.411604,  -4.995028,  -0.164153
-8.859171,  -163.567526,  -4.816034,  -0.545751
-8.875132,  -163.718543,  -4.664529,  -0.492994
-8.892356,  -163.863546,  -4.478777,  -0.532020
-8.911059,  -164.003553,  -4.324447,  -0.577698
-8.938681,  -164.140504,  -4.230068,  -0.853170
-8.971944,  -164.274649,  -4.143413,  -1.027411
-9.001447,  -164.401273,  -3.911105,  -0.911246
-9.026779,  -164.513597,  -3.469379,  -0.782451
-9.040914,  -164.615234,  -3.139319,  -0.436590
-9.043717,  -164.708952,  -2.894717,  -0.086593
-9.041690,  -164.802543,  -2.890783,  0.062611
-9.037242,  -164.895843,  -2.881793,  0.137405
-9.036144,  -164.991589,  -2.957369,  0.033907
-9.033785,  -165.090355,  -3.050613,  0.072856
-9.034005,  -165.189261,  -3.054978,  -0.006805
-9.034257,  -165.288111,  -3.053208,  -0.007757
-9.034538,  -165.386903,  -3.051443,  -0.008709
-9.035399,  -165.501515,  -3.540069,  -0.026567
-9.036152,  -165.608098,  -3.292073,  -0.023269
-9.036939,  -165.714620,  -3.290186,  -0.024296
-9.026773,  -165.818412,  -3.205898,  0.313976
-9.009319,  -165.921808,  -3.193623,  0.539106
-8.981003,  -166.030722,  -3.364088,  0.874623
-8.946038,  -166.144942,  -3.527962,  1.079972
-8.918930,  -166.261724,  -3.607111,  0.837320
-8.882332,  -166.386483,  -3.853464,  1.130404
-8.843285,  -166.514014,  -3.939122,  1.206067
-8.801495,  -166.638612,  -3.848524,  1.290774
-8.754480,  -166.760521,  -3.765452,  1.452188
-8.702521,  -166.876863,  -3.593514,  1.604870
-8.645964,  -166.988018,  -3.433281,  1.746925
-8.580125,  -167.096214,  -3.341904,  2.033572
-8.509496,  -167.204382,  -3.341026,  2.181556
-8.434967,  -167.320241,  -3.578584,  2.302025
-8.358841,  -167.444486,  -3.837619,  2.351333
-8.282255,  -167.571286,  -3.916530,  2.365561
-8.204127,  -167.706201,  -4.167182,  2.413147
-8.125029,  -167.846313,  -4.327700,  2.443145
-8.045528,  -167.988705,  -4.398141,  2.455589
-7.968681,  -168.133669,  -4.477565,  2.373598
-7.891335,  -168.281716,  -4.572815,  2.389047
-7.819400,  -168.415782,  -4.140939,  2.221875
-7.756137,  -168.549796,  -4.139367,  1.954043
-7.698436,  -168.686365,  -4.218263,  1.782221
-7.640416,  -168.828224,  -4.381648,  1.792108
-7.591221,  -168.978198,  -4.632323,  1.519494
-7.551785,  -169.138779,  -4.959939,  1.218093
-7.526208,  -169.304512,  -5.119081,  0.790005
-7.508725,  -169.478402,  -5.371021,  0.539985
-7.494956,  -169.652466,  -5.376390,  0.425296
-7.480403,  -169.821103,  -5.208771,  0.449499
-7.464601,  -169.981385,  -4.950706,  0.488091
-7.441455,  -170.136080,  -4.778119,  0.714942
-7.411667,  -170.288134,  -4.696572,  0.920077
-7.375444,  -170.437307,  -4.607592,  1.118836
-7.333052,  -170.586338,  -4.603186,  1.309360
-7.287612,  -170.738002,  -4.684518,  1.403535
-7.235641,  -170.897551,  -4.928060,  1.605250
-7.186841,  -171.067877,  -5.260916,  1.507300
-7.141594,  -171.251618,  -5.675300,  1.397589
-7.100325,  -171.446007,  -6.004192,  1.274669
-7.067240,  -171.645668,  -6.167022,  1.021937
-7.042270,  -171.845195,  -6.162868,  0.771256
-7.025131,  -172.041897,  -6.075645,  0.529365
-7.007405,  -172.233139,  -5.906970,  0.547513
-6.958916,  -172.413497,  -5.570796,  1.497708
-6.907204,  -172.582866,  -5.231398,  1.597264
-6.855372,  -172.757527,  -5.394811,  1.600950
-6.807000,  -172.942966,  -5.727762,  1.494080
-6.754927,  -173.128469,  -5.729701,  1.608402
-6.695189,  -173.316428,  -5.805578,  1.845154
-6.627827,  -173.504413,  -5.806378,  2.080658
-6.553189,  -173.689477,  -5.716175,  2.305374
-6.475248,  -173.871466,  -5.621160,  2.407380
-6.394427,  -174.048467,  -5.467126,  2.496354
-6.314248,  -174.222167,  -5.365154,  2.476527
-6.242183,  -174.390747,  -5.207008,  2.225921
-6.177861,  -174.553641,  -5.031364,  1.986743
-6.110486,  -174.713906,  -4.950192,  2.081035
-6.037223,  -174.868604,  -4.778219,  2.262905
-5.961160,  -175.020534,  -4.692746,  2.349401
-5.880887,  -175.177336,  -4.843195,  2.479415
-5.803517,  -175.337304,  -4.941004,  2.389781
-5.726221,  -175.497170,  -4.937868,  2.387480
-5.647201,  -175.648370,  -4.670198,  2.440724
-5.559363,  -175.794740,  -4.520983,  2.713084
-5.459920,  -175.935419,  -4.345207,  3.071551
-5.365629,  -176.070244,  -4.164418,  2.912420
-5.279160,  -176.199621,  -3.996116,  2.670806
-5.227212,  -176.337082,  -4.245821,  1.604537
-5.181221,  -176.477097,  -4.324718,  1.420525
-5.138305,  -176.617059,  -4.323069,  1.325573
-5.095449,  -176.754245,  -4.237314,  1.323724
-5.055665,  -176.894025,  -4.317459,  1.228823
-5.025386,  -177.039255,  -4.485794,  0.935255
-5.001149,  -177.181720,  -4.400371,  0.748591
-4.980062,  -177.324031,  -4.395645,  0.651341
-4.965264,  -177.466213,  -4.391635,  0.457062
-4.953623,  -177.608081,  -4.381937,  0.359579
-4.936820,  -177.736804,  -3.975923,  0.518979
-4.919181,  -177.859868,  -3.801142,  0.544836
-4.897691,  -177.974998,  -3.556081,  0.663760
-4.870684,  -178.087221,  -3.466260,  0.834190
-4.840684,  -178.193985,  -3.297690,  0.926624
-4.803351,  -178.300604,  -3.293177,  1.153122
-4.761169,  -178.409947,  -3.377318,  1.302893
-4.716494,  -178.521903,  -3.458049,  1.379898
-4.671776,  -178.639191,  -3.622715,  1.381224
-4.629748,  -178.759133,  -3.704718,  1.298138
-4.587773,  -178.879009,  -3.702674,  1.296490
-4.545852,  -178.998820,  -3.700637,  1.294842
-4.506621,  -179.115843,  -3.614563,  1.211749
-4.467442,  -179.232803,  -3.612602,  1.210153
-4.388936,  -179.371492,  -4.283748,  2.424852
-4.307367,  -179.509953,  -4.276713,  2.519432
-4.225871,  -179.648328,  -4.274035,  2.517226
-4.145174,  -179.783461,  -4.173927,  2.492524
-4.065590,  -179.843258,  -1.846978,  2.458131
-3.988812,  -179.905796,  -1.931635,  2.371502
-3.919606,  -179.968176,  -1.926751,  2.137596
-3.870001,  -180.027849,  -1.843143,  1.532163
-3.825390,  -180.087512,  -1.842864,  1.377932
-3.780812,  -180.147136,  -1.841620,  1.376886
-3.739564,  -180.201381,  -1.675488,  1.274050
-3.701077,  -180.244750,  -1.339547,  1.188750
-3.662429,  -180.282694,  -1.172014,  1.193749
-3.626552,  -180.323437,  -1.258448,  1.108165
-3.588141,  -180.366716,  -1.336775,  1.186403
-3.547026,  -180.410012,  -1.337284,  1.269926
-3.503020,  -180.458620,  -1.501385,  1.359238
-3.455922,  -180.510000,  -1.587019,  1.454751
-3.409941,  -180.569519,  -1.838368,  1.420247
-3.358459,  -180.634242,  -1.999147,  1.590136
-3.300835,  -180.704365,  -2.165899,  1.779852
-3.240435,  -180.779711,  -2.327254,  1.865610
-3.178627,  -180.863242,  -2.580065,  1.909093
-3.115461,  -180.954689,  -2.824553,  1.951026
-3.123712,  -181.040661,  -2.655486,  -0.254841
-3.119906,  -181.118950,  -2.418119,  0.117555
-3.105521,  -181.175343,  -1.741844,  0.444331
-3.081616,  -181.226238,  -1.572020,  0.738352
-3.046995,  -181.277160,  -1.572862,  1.069343
-2.996070,  -181.325473,  -1.492265,  1.572941
-2.941827,  -181.360115,  -1.069987,  1.675432
-2.893298,  -181.389345,  -0.902848,  1.498944
-2.839008,  -181.418398,  -0.897380,  1.676884
-2.779153,  -181.450195,  -0.982117,  1.848782
-2.730427,  -181.492877,  -1.318348,  1.505006
-2.689966,  -181.540813,  -1.480627,  1.249726
-2.658306,  -181.588526,  -1.473736,  0.977917
-2.625449,  -181.639037,  -1.560161,  1.014858
-2.593091,  -181.694892,  -1.725220,  0.999470
-2.568571,  -181.758992,  -1.979860,  0.757364
-2.549257,  -181.831183,  -2.229820,  0.596541
-2.533092,  -181.908763,  -2.396229,  0.499306
-2.526006,  -181.988496,  -2.462772,  0.218875
-2.526937,  -182.065601,  -2.381565,  -0.028779
-2.530301,  -182.137418,  -2.218254,  -0.103891
-2.530094,  -182.217463,  -2.472380,  0.006381
-2.531126,  -182.316087,  -3.046248,  -0.031857
-2.523157,  -182.431208,  -3.555804,  0.246126
-2.476583,  -182.581383,  -4.638509,  1.438548
-2.426685,  -182.734035,  -4.715050,  1.541240
-2.374671,  -182.870531,  -4.216004,  1.606574
-2.310172,  -183.009433,  -4.290326,  1.992208
-2.232511,  -183.151128,  -4.376608,  2.398767
-2.141028,  -183.295114,  -4.447345,  2.825667
-2.043722,  -183.447112,  -4.694849,  3.005543
-1.945553,  -183.602116,  -4.787663,  3.032173
-1.846682,  -183.759607,  -4.864502,  3.053885
-1.740363,  -183.917109,  -4.864853,  3.283920
-1.626327,  -184.074833,  -4.871673,  3.522279
-1.502077,  -184.228773,  -4.754812,  3.837777
-1.377921,  -184.382613,  -4.751726,  3.834851
-1.253861,  -184.536353,  -4.748651,  3.831921
-1.130883,  -184.687776,  -4.677071,  3.798481
-1.009096,  -184.836637,  -4.597925,  3.761681
-0.892459,  -184.982599,  -4.508397,  3.602621
-0.784299,  -185.126037,  -4.430452,  3.340798
-0.674485,  -185.273920,  -4.567744,  3.391872
-0.564227,  -185.433323,  -4.923541,  3.405574
-0.453140,  -185.595166,  -4.998924,  3.431191
-0.348914,  -185.760100,  -5.094372,  3.219272
-0.242128,  -185.921206,  -4.976174,  3.298352
-0.140007,  -186.080051,  -4.906309,  3.154275
0.001097,  -186.235651,  -4.806082,  4.358340
0.150576,  -186.382942,  -4.549465,  4.617020
0.303461,  -186.528614,  -4.499417,  4.722220
0.458671,  -186.678072,  -4.616386,  4.794052
0.610890,  -186.830142,  -4.697056,  4.701677
0.759021,  -186.990948,  -4.966887,  4.575380
0.908220,  -187.153772,  -5.029235,  4.608365
1.051791,  -187.323396,  -5.239246,  4.434544
1.195740,  -187.493875,  -5.265678,  4.446243
1.331171,  -187.665648,  -5.305625,  4.183120
1.460930,  -187.834813,  -5.225078,  4.007905
1.590143,  -188.002893,  -5.191547,  3.991055
1.712767,  -188.165749,  -5.030213,  3.787556
1.833919,  -188.325282,  -4.927573,  3.742075
1.894778,  -188.439302,  -3.521807,  1.879773
1.947099,  -188.550573,  -3.436875,  1.616074
1.991406,  -188.661876,  -3.437862,  1.368538
2.027737,  -188.770368,  -3.351051,  1.122167
2.061380,  -188.881489,  -3.432239,  1.039144
2.094972,  -188.992564,  -3.430811,  1.037571
2.128466,  -189.106290,  -3.512709,  1.034544
2.164592,  -189.219993,  -3.511990,  1.115845
2.200665,  -189.333648,  -3.510524,  1.114216
2.239276,  -189.441837,  -3.341699,  1.192580
2.241732,  -189.574026,  -4.082960,  0.075853
2.248139,  -189.701152,  -3.926602,  0.197915
2.259760,  -189.833440,  -4.086043,  0.358938
2.269830,  -189.976371,  -4.414773,  0.311017
2.282753,  -190.122087,  -4.500800,  0.399176
2.308293,  -190.275901,  -4.750916,  0.788870
2.337078,  -190.432235,  -4.828757,  0.889103
2.369142,  -190.593997,  -4.996440,  0.990354
2.404669,  -190.750336,  -4.828911,  1.097362
2.443521,  -190.903889,  -4.742871,  1.200024
2.485412,  -191.049207,  -4.488488,  1.293920
2.530358,  -191.191901,  -4.407469,  1.388244
2.574814,  -191.326456,  -4.156066,  1.373141
2.618925,  -191.455569,  -3.987966,  1.362491
2.665566,  -191.579066,  -3.814499,  1.440602
2.706203,  -191.697150,  -3.647332,  1.255177
2.738357,  -191.820656,  -3.814760,  0.993163
2.763996,  -191.957655,  -4.231569,  0.791934
2.795570,  -192.108043,  -4.645089,  0.975238
2.830425,  -192.247615,  -4.311024,  1.076571
2.865220,  -192.379042,  -4.059457,  1.074717
2.896991,  -192.507697,  -3.973834,  0.981323
2.931673,  -192.628238,  -3.723204,  1.071247
2.966301,  -192.740640,  -3.471818,  1.069593
2.997960,  -192.866465,  -3.886387,  0.977854
3.037945,  -192.981382,  -3.549506,  1.235037
3.083162,  -193.093547,  -3.464481,  1.396623
3.135793,  -193.200340,  -3.298589,  1.625636
3.190240,  -193.301671,  -3.129850,  1.681757
3.250266,  -193.405888,  -3.219002,  1.854021
3.313907,  -193.515413,  -3.382940,  1.965720
3.379673,  -193.622240,  -3.299621,  2.031347
3.444705,  -193.725850,  -3.200260,  2.008664
3.503974,  -193.826948,  -3.122645,  1.830675
3.562249,  -193.922685,  -2.957085,  1.799980
